Method,n_star_ratio,MAE,time_s
Neural-ECF[peaks],0.1,60,1.0972769260406494
MIDAST[KS],0.1,0,3.1564478874206543
Neural-ECF[argmax],0.1,60,1.0694711208343506
Neural-ECF[peaks],0.1,60,1.0694711208343506
MIDAST[KS],0.1,0,3.1551029682159424
Neural-ECF[argmax],0.1,60,1.0796940326690674
Neural-ECF[peaks],0.1,60,1.0796940326690674
MIDAST[KS],0.1,0,3.1598758697509766
Neural-ECF[argmax],0.1,60,1.0835492610931396
Neural-ECF[peaks],0.1,60,1.0835492610931396
MIDAST[KS],0.1,0,3.1578879356384277
Neural-ECF[argmax],0.1,60,1.0922601222991943
Neural-ECF[peaks],0.1,60,1.0922601222991943
MIDAST[KS],0.1,0,3.1821579933166504
Neural-ECF[argmax],0.1,60,1.0527138710021973
Neural-ECF[peaks],0.1,60,1.0527138710021973
MIDAST[KS],0.1,0,3.13765287399292
Neural-ECF[argmax],0.1,60,1.113976240158081
Neural-ECF[peaks],0.1,60,1.113976240158081
MIDAST[KS],0.1,0,3.207893133163452
Neural-ECF[argmax],0.1,60,1.076585054397583
Neural-ECF[peaks],0.1,60,1.076585054397583
MIDAST[KS],0.1,0,3.1126868724823
Neural-ECF[argmax],0.1,60,1.0856740474700928
Neural-ECF[peaks],0.1,60,1.0856740474700928
MIDAST[KS],0.1,0,3.1251027584075928
Neural-ECF[argmax],0.1,60,1.0798709392547607
Neural-ECF[peaks],0.1,60,1.0798709392547607
MIDAST[KS],0.1,0,3.1526389122009277
Neural-ECF[argmax],0.1,60,1.0781538486480713
Neural-ECF[peaks],0.1,60,1.0781538486480713
MIDAST[KS],0.1,0,3.1315011978149414
Neural-ECF[argmax],0.1,60,1.0589666366577148
Neural-ECF[peaks],0.1,60,1.0589666366577148
MIDAST[KS],0.1,0,3.1250219345092773
Neural-ECF[argmax],0.1,60,1.0685811042785645
Neural-ECF[peaks],0.1,60,1.0685811042785645
MIDAST[KS],0.1,0,3.168182134628296
Neural-ECF[argmax],0.1,60,1.1051933765411377
Neural-ECF[peaks],0.1,60,1.1051933765411377
MIDAST[KS],0.1,0,3.152925968170166
Neural-ECF[argmax],0.1,60,1.0927958488464355
Neural-ECF[peaks],0.1,60,1.0927958488464355
MIDAST[KS],0.1,0,3.1600348949432373
Neural-ECF[argmax],0.1,60,1.0626671314239502
Neural-ECF[peaks],0.1,60,1.0626671314239502
MIDAST[KS],0.1,0,3.1215860843658447
Neural-ECF[argmax],0.1,60,1.1039962768554688
Neural-ECF[peaks],0.1,60,1.1039962768554688
MIDAST[KS],0.1,0,3.1275930404663086
Neural-ECF[argmax],0.1,60,1.0546960830688477
Neural-ECF[peaks],0.1,60,1.0546960830688477
MIDAST[KS],0.1,0,3.135653018951416
Neural-ECF[argmax],0.1,60,1.077526569366455
Neural-ECF[peaks],0.1,60,1.077526569366455
MIDAST[KS],0.1,0,3.154980182647705
Neural-ECF[argmax],0.1,60,1.1082680225372314
Neural-ECF[peaks],0.1,60,1.1082680225372314
MIDAST[KS],0.1,0,3.115183115005493
Neural-ECF[argmax],0.1,60,1.0868782997131348
Neural-ECF[peaks],0.1,60,1.0868782997131348
MIDAST[KS],0.1,0,3.1531379222869873
Neural-ECF[argmax],0.1,60,1.1107358932495117
Neural-ECF[peaks],0.1,60,1.1107358932495117
MIDAST[KS],0.1,0,3.0650699138641357
Neural-ECF[argmax],0.1,60,1.0705459117889404
Neural-ECF[peaks],0.1,60,1.0705459117889404
MIDAST[KS],0.1,0,3.1669530868530273
Neural-ECF[argmax],0.1,60,1.0620880126953125
Neural-ECF[peaks],0.1,60,1.0620880126953125
MIDAST[KS],0.1,0,3.193959951400757
Neural-ECF[argmax],0.1,60,1.0357732772827148
Neural-ECF[peaks],0.1,60,1.0357732772827148
MIDAST[KS],0.1,0,3.1996002197265625
Neural-ECF[argmax],0.1,60,1.0806694030761719
Neural-ECF[peaks],0.1,60,1.0806694030761719
MIDAST[KS],0.1,0,3.2136688232421875
Neural-ECF[argmax],0.1,60,1.0792832374572754
Neural-ECF[peaks],0.1,60,1.0792832374572754
MIDAST[KS],0.1,0,3.2329721450805664
Neural-ECF[argmax],0.1,60,1.1225042343139648
Neural-ECF[peaks],0.1,60,1.1225042343139648
MIDAST[KS],0.1,0,3.1288230419158936
Neural-ECF[argmax],0.1,60,1.1144602298736572
Neural-ECF[peaks],0.1,60,1.1144602298736572
MIDAST[KS],0.1,0,3.170093059539795
Neural-ECF[argmax],0.1,60,1.097675085067749
Neural-ECF[peaks],0.1,60,1.097675085067749
MIDAST[KS],0.1,0,3.111539125442505
Neural-ECF[argmax],0.1,60,1.0594499111175537
